#time 	 prey_t	predator1_t	predator2_t
2.140000 0.895631 1.788950 1.788950
2.145000 0.894454 1.788856 1.788856
2.150000 0.893279 1.788761 1.788761
2.155000 0.892106 1.788665 1.788665
2.160000 0.890935 1.788568 1.788568
2.165000 0.889767 1.788470 1.788470
2.170000 0.888601 1.788371 1.788371
2.175000 0.887437 1.788271 1.788271
2.180000 0.886275 1.788170 1.788170
2.185000 0.885116 1.788068 1.788068
2.190000 0.883958 1.787964 1.787964
2.195000 0.882803 1.787860 1.787860
2.200000 0.881650 1.787755 1.787755
2.205000 0.880500 1.787649 1.787649
2.210000 0.879351 1.787541 1.787541
2.215000 0.878205 1.787433 1.787433
2.220000 0.877061 1.787324 1.787324
2.225000 0.875919 1.787213 1.787213
2.230000 0.874779 1.787102 1.787102
2.235000 0.873642 1.786989 1.786989
2.240000 0.872506 1.786876 1.786876
2.245000 0.871373 1.786762 1.786762
2.250000 0.870242 1.786646 1.786646
2.255000 0.869113 1.786530 1.786530
2.260000 0.867986 1.786412 1.786412
2.265000 0.866861 1.786294 1.786294
2.270000 0.865739 1.786175 1.786175
2.275000 0.864618 1.786054 1.786054
2.280000 0.863500 1.785933 1.785933
2.285000 0.862384 1.785810 1.785810
2.290000 0.861270 1.785687 1.785687
2.295000 0.860158 1.785563 1.785563
2.300000 0.859048 1.785437 1.785437
2.305000 0.857940 1.785311 1.785311
2.310000 0.856834 1.785184 1.785184
2.315000 0.855731 1.785055 1.785055
2.320000 0.854629 1.784926 1.784926
2.325000 0.853530 1.784796 1.784796
2.330000 0.852432 1.784665 1.784665
2.335000 0.851337 1.784533 1.784533
2.340000 0.850244 1.784399 1.784399
2.345000 0.849153 1.784265 1.784265
2.350000 0.848064 1.784130 1.784130
2.355000 0.846977 1.783994 1.783994
2.360000 0.845892 1.783857 1.783857
2.365000 0.844809 1.783719 1.783719
2.370000 0.843728 1.783581 1.783581
2.375000 0.842649 1.783441 1.783441
2.380000 0.841572 1.783300 1.783300
2.385000 0.840497 1.783158 1.783158
2.390000 0.839425 1.783015 1.783015
2.395000 0.838354 1.782872 1.782872
2.400000 0.837285 1.782727 1.782727
2.405000 0.836218 1.782582 1.782582
